brand,title,accords,gender,age,secondary notes
Apothia,IF Apothia for women,"citrus,floral,musky,fresh spicy,green,",female,older_twenty_five,"lemon,pungent,violetflower,grapefruit,musty"
Elode,Blossom Elode for women,"citrus,floral,powdery,white floral,aquatic,fruity,",female,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
Tartine-et-Chocolat,Ptisenbon Lovely Cherry Tartine et Chocolat for women,"citrus,floral,rose,white floral,woody",female,older_twenty_five,"lemon,pungent,violetflower,blackcurrant,anisic"
Acqua-di-Sardegna,Smeralda Woman Eau de Parfum Acqua di Sardegna for women,"citrus,floral,sweet,powdery,aromatic,balsamic,",female,older_twenty_five,"vanilla,dry,musk,berry,violetflower"
Acqua-di-Parma,Yuzu Eau de Parfum Acqua di Parma for women and men,"citrus,floral,sweet,powdery,green,",unisex,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
Bourbon-French-Parfums,Eleftorea Bourbon French Parfums for women,"citrus,floral,vanilla,green,fresh,",female,older_twenty_five,"dairy,powdery,coconut,grass,nut"
Guess,Guess Girl Summer Guess for women,"citrus,floral,white floral,sweet,musky,fresh",female,older_twenty_five,"pungent,lemon,violetflower"
Parfum-Bar,Milano Mod.1 Parfum Bar for men,"citrus,floral,woody,fresh spicy,aromatic,warm spicy",male,older_twenty_five,"lemon,pungent,violetflower,blackcurrant,anisic"
Juventus,1897 Woman Juventus for women,"citrus,floral,woody,fruity,fresh,warm spicy,",female,older_twenty_five,"lemon,pungent,violetflower,blackcurrant,anisic"
Valeria-Mazza,Valeria Mazza for women,"citrus,floral,woody,green,powdery,fruity",female,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
Parfums-Constantine,La Mia Bergamo Parfums Constantine for women,"citrus,floral,woody,herbal,green,fresh,",female,older_twenty_five,"apple,lemon,pungent,violetflower,blackcurrant"
Jacadi,Toute Petite Eau de Soin Jacadi for women,"citrus,floral,woody,white floral,fresh spicy",female,older_twenty_five,"lemon,pungent,violetflower,blackcurrant,anisic"
Sisley,Sisley Eau de 3 Sisley for women,"citrus,fresh spicy,aromatic,floral,green,",female,older_twenty_five,"lemon,pungent,violetflower,grapefruit,musty"
C-O-Bigelow,Lime Coriander C.O.Bigelow for women and men,"citrus,fresh spicy,aromatic,green,herbal",unisex,older_twenty_five,"apple,grapefruit,musty,clean,oily"
Dzintars,Komandor 9 Dzintars for men,"citrus,fresh spicy,aromatic,woody,green",male,older_twenty_five,"blackcurrant,anisic,dry,grapefruit,musty"
Lili-Bermuda,Navy Lili Bermuda for men,"citrus,fresh spicy,aromatic,woody,green,",male,older_twenty_five,"blackcurrant,anisic,dry,grapefruit,musty"
The-Gate-Fragrances-Paris,Genuine Touch The Gate Fragrances Paris for men,"citrus,fresh spicy,floral,aromatic,woody,powdery,",male,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
Jo-Loves,Jo by Jo Loves Jo Loves for women and men,"citrus,fresh spicy,green,aromatic,woody,fresh,",unisex,older_twenty_five,"grapefruit,musty,clean,oily,grass"
Valeur-Absolue,Harmonie Valeur Absolue for women,"citrus,fresh spicy,musky,white floral,vanilla,",female,older_twenty_five,"dairy,powdery,coconut,grass,nut"
Louis-Vuitton,Afternoon Swim  Louis Vuitton for women and men,"citrus,fresh spicy,terpenic,aromatic,sweet,aldehydic,",unisex,older_twenty_five,"pungent,fatty,lemon,waxy,lily"
Rance-1795,Rue Rance Eau Royale Rance 1795 for women,"citrus,fresh spicy,white floral,aromatic,green,",female,older_twenty_five,"grapefruit,musty,clean,oily,grass"
Tova-Beverly-Hills,Tova Signature Summer Tova Beverly Hills for women,"citrus,fresh spicy,white floral,floral,aromatic,",female,older_twenty_five,"lemon,pungent,violetflower"
Adolfo-Fragrances,Adolfo Classic For Men Adolfo Fragrances for men,"citrus,fresh spicy,white floral,woody,patchouli,",male,older_twenty_five,"blackcurrant,anisic,dry"
Micaelangelo,Bellagio Uomo Micaelangelo for men,"citrus,fresh spicy,woody,warm spicy,green",male,older_twenty_five,"blackcurrant,anisic,dry,grapefruit,musty"
Masaki-Matsushima,M;0°С Men Masaki Matsushima for men,"citrus,fresh,aromatic,floral,fresh spicy,fruity",male,older_twenty_five,"lemon,pungent,violetflower"
Solinotes,Pomelo Solinotes for women and men,"citrus,fresh,aromatic,woody,fresh spicy,",unisex,older_twenty_five,"blackcurrant,anisic,dry"
Swiss-Arabian,Marhaba Saa Swiss Arabian for women,"citrus,fresh,green,woody,floral,white floral",female,older_twenty_five,"grapefruit,musty,clean,oily,grass"
Love-Toast,Gin Blossom Love & Toast for women,"citrus,fresh,white floral,fresh spicy,herbal,",female,older_twenty_five,"apple,animalic"
Sarantis,B.U. Tease Orange Sarantis for women,"citrus,fruity,floral,sweet,woody",female,older_twenty_five,"pungent,lemon,violetflower,blackcurrant,anisic"
Acqua-di-Montisola,Peschiera  Acqua di Montisola for women and men,"citrus,fruity,rose,white floral,amber,woody",unisex,older_twenty_five,"blackcurrant,anisic,dry"
Johan-B,Elegance Johan B for women,"citrus,fruity,sweet,powdery,floral",female,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
Reflexion,Sabotage Reflexion for women,"citrus,fruity,sweet,powdery,yellow floral",female,older_twenty_five,"vanilla,dry,musk,almond,berry"
Ulric-de-Varens,Eau de Varens No. 2 Ulric de Varens for women,"citrus,fruity,white floral,aromatic,powdery,fresh spicy",female,older_twenty_five,"vanilla,dry,musk,almond,berry"
Nina-Ricci,Signoricci 2 Nina Ricci for men,"citrus,green,aldehydic,aromatic,fresh spicy",male,older_twenty_five,"fatty,waxy,lily,pungent,musty"
Paris-Elysees,Vodka Night Paris Elysees for men,"citrus,green,aromatic,warm spicy,floral,patchouli,",male,older_twenty_five,"grapefruit,musty,clean,oily,grass"
World-Of-Jass,Cologne World Of Jass for men,"citrus,green,floral,fresh,musky,aromatic",male,older_twenty_five,"grapefruit,musty,clean,oily,grass"
CnR-Create,Gemini CnR Create for women,"citrus,green,floral,white floral,musky,powdery,",female,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
Paglieri,Amalphia Paglieri for women and men,"citrus,green,floral,woody,musky,",unisex,older_twenty_five,"grapefruit,musty,clean,oily,grass"
Loewe,Agua de Loewe Cala d'Or Loewe for women and men,"citrus,green,fresh spicy,aromatic,woody,",unisex,older_twenty_five,"grapefruit,musty,clean,oily,grass"
L-Erbolario,Jade Plant L'Erbolario for women,"citrus,green,fresh spicy,rose,ozonic,",female,older_twenty_five,"grapefruit,musty,clean,oily,grass"
Avon,Perceive Soleil Avon for women,"citrus,green,white floral,fresh spicy,floral,sweet,",female,older_twenty_five,"pungent,grapefruit,musty,clean,oily"
Calvin-Klein,Ck One Electric Calvin Klein for women and men,"citrus,green,woody,aromatic,fresh spicy,",unisex,older_twenty_five,"grapefruit,musty,clean,oily,grass"
Caswell-Massey,Centuries Verbena Caswell Massey for women and men,"citrus,herbal,aromatic,conifer,fresh spicy,green,",unisex,older_twenty_five,"apple,animalic,grapefruit,musty,clean"
Giorgio-Armani,Armani Code Giorgio Armani for men,"citrus,leather,aromatic,floral,soft spicy,",male,older_twenty_five,"animalic,phenolic,medicinal,tobacco,smoky"
Alexandria-Fragrances,Bazooka Alexandria Fragrances for men,"citrus,leather,woody,warm spicy,aromatic",male,older_twenty_five,"animalic,phenolic,medicinal,tobacco,smoky"
Blood-Concept,XL Oxygen Vert Blood Concept for women and men,"citrus,marine,fresh spicy,aromatic,green,",unisex,older_twenty_five,"grapefruit,musty,clean,oily,grass"
Ajne,Spindrift Ajne for women and men,"citrus,marine,woody,aromatic,savory,floral",unisex,older_twenty_five,"blackcurrant,anisic,dry,lemon,pungent"
Dina-Cosmetics,French Style Blue Dream Dina Cosmetics for women,"citrus,musky,fresh,floral,woody",female,older_twenty_five,"lemon,pungent,violetflower,blackcurrant,anisic"
Elysees-Fashion,Acqua di Elysses Fashion Elysees Fashion for women,"citrus,musky,fruity,amber,woody,",female,older_twenty_five,"blackcurrant,anisic,dry"
The-Fragrance-Kitchen,21 The Fragrance Kitchen for women,"citrus,musky,powdery,balsamic,floral",female,older_twenty_five,"vanilla,dry,musk,berry,violetflower"
Viktor-Rolf,Flowerbomb Bomblicious Viktor&Rolf for women,"citrus,musky,woody,fruity,patchouli,",female,older_twenty_five,"blackcurrant,anisic,dry"
M-Micallef,No 51 M. Micallef for women and men,"citrus,musky,yellow floral,white floral,green",unisex,older_twenty_five,"grapefruit,musty,clean,oily,grass"
Guerlain,Eau de Shalimar Edition Charms Guerlain for women,"citrus,powdery,vanilla,floral,rose,fresh spicy",female,older_twenty_five,"dairy,dry,almond,musk,coconut"
L-Erbolario,Fiorichiari L'Erbolario for women,"citrus,rose,floral,fruity,sweet,",female,older_twenty_five,"pungent,lemon,violetflower"
Lush,So White Lush for women and men,"citrus,rose,fruity,sweet,fresh spicy",unisex,older_twenty_five,pungent
Le-Galion,Snob Le Galion for women,"citrus,rose,woody,white floral,powdery,musky",female,older_twenty_five,"vanilla,dry,musk,almond,berry"
Sofia-Balestra,Green Sofia Balestra for women,"citrus,sweet,floral,fresh spicy,woody,vanilla,",female,older_twenty_five,"dairy,powdery,coconut,grass,nut"
Oriflame,Miss Giordani Oriflame for women,"citrus,sweet,fruity,floral,tropical,",female,older_twenty_five,"pungent,lemon,violetflower"
Springfield,SPF Woman Springfield for women,"citrus,sweet,fruity,fresh spicy,white floral,floral,",female,under_twenty_five,"pungent,lemon,violetflower"
Reminiscence,Etoile de Rem Reminiscence for women,"citrus,sweet,marine,coconut,vanilla,",female,older_twenty_five,"dairy,powdery,grass,nut,almond"
Mixit,Dark Room Mixit for women,"citrus,sweet,powdery,vanilla,soft spicy",female,under_twenty_five,"dairy,dry,almond,musk,coconut"
Bi-es,Ti Amo Ti Amo Bi-es for women,"citrus,sweet,vanilla,fruity,floral,white floral,",female,older_twenty_five,"dairy,powdery,coconut,grass,nut"
Allen-Shaw,Coconut Allen Shaw for women and men,"citrus,sweet,woody,coconut,white floral,musky",unisex,older_twenty_five,"vanilla,dairy,grass,lactonic,nut"
Al-Haramain-Perfumes,Dhahab Al Haramain Perfumes for women and men,"citrus,vanilla,caramel,sweet,woody,musky",unisex,older_twenty_five,"dairy,powdery,coconut,grass,nut"
Franck-Olivier,Sun Java for Men Franck Olivier for men,"citrus,vanilla,fresh spicy,ozonic,aromatic,amber,",male,older_twenty_five,"dairy,powdery,coconut,grass,nut"
10th-Avenue-Karl-Antony,Ma Fleur Glamour 10th Avenue Karl Antony for women,"citrus,vanilla,fruity,aromatic,animalic,amber",female,older_twenty_five,"musk,powdery,dairy,nut,leather"
Deborah,Be Gourmand - Lovely Cream Deborah for women,"citrus,vanilla,green,aromatic,powdery",female,older_twenty_five,"dairy,dry,almond,musk,coconut"
Demeter-Fragrance,Kamikaze Demeter Fragrance for women and men,"citrus,vodka,conifer,sweet,fresh spicy",unisex,older_twenty_five,pungent
Van-Cleef-Arpels,First Edition Blanche Van Cleef & Arpels for women,"citrus,white floral,aldehydic,musky,rose",female,older_twenty_five,"fatty,waxy,lily,pungent,lemon"
Khaltat,Liebe Khaltat for women and men,"citrus,white floral,amber,fresh spicy,sweet,animalic,",unisex,older_twenty_five,"musk,leather,tobacco,meat,tropicalfruit"
Aerin-Lauder,Mediterranean Honeysuckle Aerin Lauder for women,"citrus,white floral,floral,fresh spicy,fruity,",female,older_twenty_five,"lemon,pungent,violetflower"
Borsari,Goccia di Cristallo Borsari for women,"citrus,white floral,fresh spicy,aromatic,sweet",female,older_twenty_five,pungent
Keiko-Mecheri,Hanae Keiko Mecheri for women,"citrus,white floral,fruity,musky,sweet,fresh,",female,older_twenty_five,pungent
Kaloo,Blue Kaloo for women and men,"citrus,white floral,musky,fresh spicy,sweet,fruity,",unisex,under_twenty_five,pungent
ID-Parfums,Andalucia Sensuelle ID Parfums for women,"citrus,white floral,patchouli,salty,sweet,",female,older_twenty_five,pungent
Vive-Maria-Forbidden-Fragrance,Almost Innocent Vive Maria Forbidden Fragrance for women,"citrus,white floral,vanilla,soft spicy,amber,,",female,older_twenty_five,"dairy,powdery,coconut,grass,nut"
Acqua-di-Baviera,Edizione Reale 2018 Acqua di Baviera for women,"citrus,white floral,woody,floral,balsamic,",female,older_twenty_five,"cacao,blackcurrant,anisic,dry,lemon"
Boadicea-the-Victorious,Valiant Boadicea the Victorious for women and men,"citrus,white floral,woody,floral,sweet",unisex,older_twenty_five,"pungent,blackcurrant,anisic,dry,lemon"
Korloff-Paris,Lady Korloff Intense Korloff Paris for women,"citrus,white floral,woody,fruity,tuberose,",female,under_twenty_five,"blackcurrant,anisic,dry"
Dilis-Parfum,Dilis Classic Collection No. 34 Dilis Parfum for women,"citrus,white floral,woody,powdery,floral,,",female,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
Suzy-Larsen-Perfumes,Parisian Pink Suzy Larsen Perfumes for women,"citrus,white floral,woody,sweet,vanilla,yellow floral",female,older_twenty_five,"dairy,powdery,coconut,grass,nut"
Jequiti,Elo Por Claudia Leitte  Jequiti for men,"citrus,woody,amber,patchouli,warm spicy,aromatic",male,under_twenty_five,"blackcurrant,anisic,dry"
Bath-and-Body-Works,Alpine Suede Bath and Body Works for men,"citrus,woody,aromatic,fresh spicy,leather,green",male,older_twenty_five,"animalic,phenolic,medicinal,tobacco,smoky"
Parfums-Vintage,Evolution De L'Homme Matin Parfums Vintage for men,"citrus,woody,aromatic,fresh spicy,patchouli,",male,older_twenty_five,"blackcurrant,anisic,dry"
Signature-Fragrances,Nouveau Signature Fragrances for women and men,"citrus,woody,aromatic,fresh spicy,rose,musky",unisex,older_twenty_five,"blackcurrant,anisic,dry"
Air-Val-International,B.H.P.C. Classic for Men Air-Val International for men,"citrus,woody,aromatic,green,musky,patchouli",male,older_twenty_five,"blackcurrant,anisic,dry,grapefruit,musty"
Novaya-Zarya,Only You Novaya Zarya for men,"citrus,woody,aromatic,green,patchouli,fresh spicy",male,older_twenty_five,"blackcurrant,anisic,dry,grapefruit,musty"
Acqua-Delle-Langhe,Arborina Acqua Delle Langhe for women,"citrus,woody,aromatic,warm spicy,white floral,powdery,",female,older_twenty_five,"vanilla,dry,musk,almond,berry"
4160-Tuesdays,London 1969 4160 Tuesdays for women and men,"citrus,woody,balsamic,aromatic,fresh spicy",unisex,older_twenty_five,"cacao,blackcurrant,anisic,dry,berry"
Marc-Joseph,MJ Man Marc Joseph for men,"citrus,woody,earthy,aromatic,green,fresh spicy",male,older_twenty_five,"musk,blackcurrant,anisic,dry,leather"
Avon,Pretty Glamorous Avon for women,"citrus,woody,floral,fresh,balsamic,",female,older_twenty_five,"cacao,blackcurrant,anisic,dry,lemon"
The-Spirit-Of-Azerbaijan,Lankaran The Spirit Of Azerbaijan for women and men,"citrus,woody,fresh spicy,amber,aromatic,",unisex,older_twenty_five,"blackcurrant,anisic,dry"
Jeanne-Arthes,Joe Sorrento Sport Jeanne Arthes for men,"citrus,woody,fresh spicy,fresh,aromatic",male,older_twenty_five,"blackcurrant,anisic,dry"
Dua-Fragrances,Bois Precieux et Epices Dua Fragrances for women and men,"citrus,woody,fresh spicy,leather,warm spicy",unisex,older_twenty_five,"animalic,phenolic,medicinal,tobacco,smoky"
Godet,Voyage à Saint Paul Godet for women and men,"citrus,woody,fresh spicy,white floral,green,aromatic,",unisex,older_twenty_five,"blackcurrant,anisic,dry,grapefruit,musty"
Agent-Provocateur,Electric Agent Provocateur for women,"citrus,woody,green,fruity,sweet,",female,older_twenty_five,"blackcurrant,anisic,dry,grapefruit,musty"
Yves-de-Sistelle,Aviator Style Yves de Sistelle for men,"citrus,woody,green,powdery,aromatic,rose",male,older_twenty_five,"vanilla,dry,musk,almond,berry"
Avon,Tribute Avon for men,"citrus,woody,leather,animalic,powdery,",male,older_twenty_five,"musk,dry,phenolic,tobacco,vanilla"
S-lection-Excellence,No. 14 Sélection Excellence for women,"citrus,woody,musky,white floral,powdery,balsamic",female,older_twenty_five,"vanilla,dry,musk,berry,almond"
Esteban,Secrete Afrique Esteban for women,"citrus,woody,patchouli,green,fresh spicy",female,older_twenty_five,"blackcurrant,anisic,dry,grapefruit,musty"
Chanel,Chance Eau Vive Chanel for women,"citrus,woody,white floral,fresh,fresh spicy,musky,,",female,older_twenty_five,"blackcurrant,anisic,dry"
I-Profumi-di-Firenze,Senza Fine I Profumi di Firenze for women,"citrus,yellow floral,floral,woody,sweet,",female,older_twenty_five,"pungent,lemon,violetflower,blackcurrant,anisic"
Victoria-s-Secret,Very Sexy Now The Beauty of Brazil Victoria's Secret for women,"coconut,tropical,sweet,tonka (coumarin),floral,milky,",female,older_twenty_five,"vanilla,dairy,grass,lactonic,nut"
Rue21,Metro Black Rue21 for men,"coffee,warm spicy,balsamic,woody,smoky",male,older_twenty_five,"nut,meat,cacao,phenolic,sulfuric"
Legendary-Fragrances,Barista Legendary Fragrances for women and men,"coffee,warm spicy,woody,sweet,cacao",unisex,older_twenty_five,"nut,meat,caramellic,musty,sulfuric"
Carthusia,Terra Mia Carthusia for women and men,"coffee,white floral,nutty,vanilla,warm spicy,citrus,",unisex,older_twenty_five,"nut,cacao,dairy,meat,powdery"
Oriza-L-Legrand,Chypre Mousse Oriza L. Legrand for women and men,"earthy,green,woody,aromatic,balsamic,",unisex,older_twenty_five,"musk,cacao,leather,grapefruit,musty"
Dame-Perfumery,Soliflore Ginger Lily Dame Perfumery for women and men,floral,unisex,older_twenty_five,"lemon,pungent,violetflower"
Benetton,B. United Jeans Woman Benetton for women,"floral,aldehydic,green,white floral,musky",female,older_twenty_five,"fatty,waxy,lily,pungent,lemon"
Black-Phoenix-Alchemy-Lab,Antique Lace Black Phoenix Alchemy Lab for women,"floral,aldehydic,soapy",female,older_twenty_five,"fatty,waxy,lily,pungent,lemon"
Van-Cleef-Arpels,First Love Van Cleef & Arpels for women,"floral,amber,sweet,vanilla,yellow floral,",female,older_twenty_five,"dairy,powdery,coconut,grass,nut"
Marks-and-Spencer,Magnolia Marks and Spencer for women,"floral,aquatic,fruity,ozonic,watery",female,older_twenty_five,"lily,aldehydic,melon,clean,rancid"
Kenzo,KenzoKi White Lotus (Relaxing) Kenzo for women,"floral,aquatic,ozonic,watery,",female,older_twenty_five,"lily,aldehydic,melon,clean,rancid"
Givenchy,Insense Ultramarine Givenchy for men,"floral,aromatic,green,woody,aquatic,fruity,",male,older_twenty_five,"lemon,pungent,violetflower,grapefruit,musty"
Maderas-de-Oriente,Maderas de Oriente Maderas de Oriente for women,"floral,aromatic,warm spicy,sweet,powdery",female,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
Charme-Ess-ncia,Instinto Charme Essência for women and men,"floral,balsamic,green,warm spicy,woody,white floral",unisex,older_twenty_five,"cacao,lemon,pungent,violetflower,berry"
Avon,Moonlight Lace Avon for women,"floral,balsamic,warm spicy,amber",female,older_twenty_five,"cacao,lemon,pungent,violetflower,berry"
Strange-Invisible-Perfumes,Libra Strange Invisible Perfumes for women and men,"floral,citrus,powdery,rose,fresh spicy,",unisex,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
Kafka-International,True Woman Kafka International for women,"floral,citrus,sweet,powdery,white floral,amber",female,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
Clinique,Clinique Happy Heart 2012 Clinique for women,"floral,citrus,woody,aquatic,ozonic",female,older_twenty_five,"lemon,pungent,violetflower,blackcurrant,anisic"
Odore-Mio,Magnolia Odore Mio for women,"floral,citrus,woody,fresh,aquatic,",female,older_twenty_five,"lemon,pungent,violetflower,blackcurrant,anisic"
Yosh,Zuma Yosh for women and men,"floral,coconut,white floral,woody,sweet,tonka (coumarin)",unisex,older_twenty_five,"vanilla,dairy,grass,lactonic,nut"
Lurk,TBP V1 Lurk for women and men,"floral,fresh spicy",unisex,older_twenty_five,"lemon,pungent,violetflower"
Shiseido,Zen for Men Shiseido for men,"floral,fresh spicy,citrus,powdery,fruity,sweet,",male,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
Novaya-Zarya,Neznakomka Novaya Zarya for women,"floral,fresh spicy,earthy,green,woody,warm spicy",female,older_twenty_five,"musk,lemon,pungent,violetflower,leather"
Kolmaz,Freesia Kolmaz for women,"floral,fresh spicy,green,",female,older_twenty_five,"lemon,pungent,violetflower,grapefruit,musty"
Demeter-Fragrance,Hibiscus Demeter Fragrance for women,"floral,fresh spicy,musky",female,older_twenty_five,"lemon,pungent,violetflower"
Kiss-Cosmetics,Kiss Her Kiss Cosmetics for women,"floral,fresh spicy,sweet,green,woody,",female,older_twenty_five,"pungent,lemon,violetflower,grapefruit,musty"
Yves-Rocher,Orchidee Yves Rocher for women,"floral,fresh spicy,vanilla,warm spicy,green",female,older_twenty_five,"dairy,powdery,coconut,grass,nut"
Emanuel-Ungaro,Fleur de Diva Emanuel Ungaro for women,"floral,fresh spicy,white floral,green,rose,",female,older_twenty_five,"lemon,pungent,violetflower,grapefruit,musty"
Avon,Celebre Avon for women,"floral,fresh,fruity,fresh spicy,rose,",female,older_twenty_five,"lemon,pungent,violetflower"
Bond-No-9,Sag Harbor Bond No 9 for women and men,"floral,fresh,fruity,woody,green",unisex,older_twenty_five,"lemon,pungent,violetflower,blackcurrant,anisic"
Parfums-Genty,Delicata Lilla Parfums Genty for women,"floral,fresh,green,musky,fruity",female,older_twenty_five,"lemon,pungent,violetflower,grapefruit,musty"
Jimmy-Choo,Jimmy Choo L'Eau Jimmy Choo for women,"floral,fresh,musky,rose,citrus,fresh spicy,",female,older_twenty_five,"lemon,pungent,violetflower"
Victoria-s-Secret,Bombshell Luxe Eau de Parfum Victoria's Secret for women,"floral,fresh,sweet,tropical,fruity",female,under_twenty_five,"pungent,lemon,violetflower"
Masaki-Matsushima,Matsu Masaki Matsushima for women,"floral,fresh,white floral,musky,almond,sweet,",female,older_twenty_five,"powdery,cherry,vanilla,phenolic,anisic"
Parfums-Genty,Aqua di Fiori Relaxante Parfums Genty for women,"floral,fruity,citrus,fresh,tuberose",female,older_twenty_five,"lemon,pungent,violetflower"
CIEL-Parfum,Nuage № 10 CIEL Parfum for women,"floral,fruity,fresh,sweet,citrus,powdery",female,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
CIEL-Parfum,Renommée CIEL Parfum for women,"floral,fruity,fresh,woody,sweet",female,older_twenty_five,"pungent,lemon,violetflower,blackcurrant,anisic"
Yves-de-Sistelle,Roseland Love Yves de Sistelle for women,"floral,fruity,sweet,tropical,fresh spicy",female,older_twenty_five,"pungent,lemon,violetflower"
Bath-and-Body-Works,Cocktail Dress Bath and Body Works for women,"floral,fruity,woody,fresh,citrus,",female,older_twenty_five,"lemon,pungent,violetflower,blackcurrant,anisic"
Comme-des-Garcons,Grace Comme des Garcons for women,"floral,green,fresh spicy,rose,aromatic,",female,older_twenty_five,"lemon,pungent,violetflower,grapefruit,musty"
Apple-Parfums,Sweet Apple Parfums for women,"floral,green,fresh,woody,amber,",female,older_twenty_five,"lemon,pungent,violetflower,grapefruit,musty"
Parfums-Genty,Niagara Tendre Parfums Genty for women,"floral,green,fruity,citrus,woody",female,older_twenty_five,"lemon,pungent,violetflower,grapefruit,musty"
Police,Pure Police London Femme Police for women,"floral,green,fruity,fresh,citrus,woody,",female,older_twenty_five,"lemon,pungent,violetflower,grapefruit,musty"
Clinique,Clinique Happy In Bloom 2016 Clinique for women,"floral,green,fruity,sweet,aquatic",female,older_twenty_five,"pungent,lemon,violetflower,grapefruit,musty"
Ulrich-Lang,17 Nandan Road Ulrich Lang for women and men,"floral,green,musky,citrus,woody,fruity,",unisex,older_twenty_five,"lemon,pungent,violetflower,grapefruit,musty"
Yves-Rocher,Lily Of The Valley (Muguet) Yves Rocher for women,"floral,green,soapy,rose,citrus,",female,older_twenty_five,"lemon,pungent,violetflower,grapefruit,musty"
Dilis-Parfum,Landysh Dilis Parfum for women,"floral,green,soapy,rose,citrus,",female,older_twenty_five,"lemon,pungent,violetflower,grapefruit,musty"
EcoParfum,Altai EcoParfum for women and men,"floral,herbal,sweet,green,aromatic,fresh spicy,",unisex,older_twenty_five,"apple,pungent,lemon,violetflower,animalic"
Natura,Luna Floral Natura for women,"floral,honey,powdery,woody,sweet",female,older_twenty_five,"vanilla,berry,dry,violetflower,waxy"
Floris,Sirena Floris for women,"floral,marine,fresh,rose,aromatic,sweet,",female,older_twenty_five,"pungent,lemon,violetflower"
Crow,No. 5 Midnight + Swim Crow for women,"floral,marine,salty,fresh,woody,",female,older_twenty_five,"lemon,pungent,violetflower,blackcurrant,anisic"
Sospiro-Perfumes,Purple Accento Sospiro Perfumes for women and men,"floral,musky,powdery,vanilla,white floral,sweet,",unisex,older_twenty_five,"dairy,dry,almond,musk,coconut"
Oriza-L-Legrand,Marions-Nous Oriza L. Legrand for women and men,"floral,musky,powdery,warm spicy,woody,",unisex,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
Agent-Provocateur,Agent Provocateur Maitresse Agent Provocateur for women,"floral,musky,powdery,yellow floral,woody",female,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
Syed-Junaid-Alam,Sahar Syed Junaid Alam for women,"floral,musky,warm spicy,white floral,fruity",female,older_twenty_five,"lemon,pungent,violetflower"
Maison-Francis-Kurkdjian,Elle 25 Maison Francis Kurkdjian for women,"floral,musky,woody,earthy,powdery",female,older_twenty_five,"musk,vanilla,dry,violetflower,almond"
Robert-Beaulieu,Vison Noir Robert Beaulieu for women,"floral,musky,woody,sweet,powdery",female,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
Marks-and-Spencer,Lime Blossom and Bergamot Marks and Spencer for women,"floral,ozonic,sweet,aquatic,aromatic",female,under_twenty_five,"pungent,lemon,violetflower"
Black-Phoenix-Alchemy-Lab,Nocturne Black Phoenix Alchemy Lab for women and men,"floral,powdery,fresh,woody,green",unisex,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
Galimard,Naina Galimard for women,"floral,powdery,rose,sweet,green,",female,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
CnR-Create,Earth Capricorn CnR Create for women,"floral,powdery,rose,sweet,yellow floral,",female,under_twenty_five,"vanilla,dry,musk,violetflower,almond"
Henry-Jacques,Kavianca Henry Jacques for women,"floral,powdery,sweet,rose,fruity,white floral,",female,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
Alkemia-Perfumes,La Belle Époche Alkemia Perfumes for women,"floral,powdery,white floral,woody,fruity",female,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
Victoria-s-Secret,Victoria's Secret Bombshell Italian Iris Victoria's Secret for women,"floral,powdery,woody,fresh spicy,sweet",female,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
Guerlain,Promenade des Anglais Guerlain for women,"floral,powdery,woody,fruity,green,ozonic",female,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
Novaya-Zarya,Kuznetsky Most Le Soir Limited Edition Novaya Zarya for women,"floral,powdery,woody,green,white floral",female,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
FCUK,Pure FCUK for women,"floral,powdery,woody,musky,fresh spicy,white floral",female,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
Brecourt,Subtile Brecourt for women and men,"floral,rose,citrus,fresh,woody,musky",unisex,older_twenty_five,"lemon,pungent,violetflower,blackcurrant,anisic"
Apple-Parfums,Blue Madam Light Apple Parfums for women,"floral,rose,citrus,white floral,fresh",female,older_twenty_five,"lemon,pungent,violetflower"
I-Profumi-di-Firenze,Iris di Firenze No. 1 I Profumi di Firenze for women,"floral,rose,fresh spicy,green,white floral",female,older_twenty_five,"lemon,pungent,violetflower,grapefruit,musty"
L-Erbolario,Dance of Flowers (Danza di Fiori) L'Erbolario for women,"floral,rose,powdery,musky,fresh,",female,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
