brand,title,accords,gender,age,secondary notes
Bien-Etre,Eau de Lavande Naturelle Bien-Etre for women and men,"aromatic,fresh spicy,citrus,floral,fresh,woody",unisex,older_twenty_five,"lemon,pungent,violetflower,blackcurrant,anisic"
Ferrari,Red Power Ferrari for men,"aromatic,fresh spicy,citrus,warm spicy,musky,woody,",male,older_twenty_five,"blackcurrant,anisic,dry"
Cattier,Eau de Provence Cattier for women and men,"aromatic,fresh spicy,floral,herbal,citrus",unisex,older_twenty_five,"apple,lemon,pungent,violetflower,animalic"
Kuumba-Made,Lavender Lace Kuumba Made for women and men,"aromatic,fresh spicy,floral,herbal,sweet",unisex,older_twenty_five,"apple,pungent,lemon,violetflower,animalic"
Caswell-Massey,English Lavender Caswell Massey for women and men,"aromatic,fresh spicy,floral,herbal,sweet",unisex,older_twenty_five,"apple,pungent,lemon,violetflower,animalic"
Mathias-Paris,L'Eau de Lavender Mathias Paris for women and men,"aromatic,fresh spicy,floral,herbal,sweet",unisex,older_twenty_five,"apple,pungent,lemon,violetflower,animalic"
Parfums-Berdoues,1902 Lavande Parfums Berdoues for women and men,"aromatic,fresh spicy,floral,musky,sweet",unisex,older_twenty_five,"pungent,lemon,violetflower"
Parfums-Valjean,Lavender and Lace Parfums Valjean for women,"aromatic,fresh spicy,floral,musky,sweet,",female,older_twenty_five,"pungent,lemon,violetflower"
Bohdidharma,Moroccan Mint Bohdidharma for women and men,"aromatic,fresh spicy,green,citrus,herbal,warm spicy",unisex,older_twenty_five,"apple,grapefruit,musty,clean,oily"
Heno-de-Pravia,Agua de Pravia 1905 Heno de Pravia for women and men,"aromatic,fresh spicy,green,fresh,floral",unisex,older_twenty_five,"grapefruit,musty,clean,oily,grass"
Pierre-Guillaume-Paris,Aube Pashmina Pierre Guillaume Paris for women and men,"aromatic,fresh spicy,green,fresh,woody,",unisex,older_twenty_five,"grapefruit,musty,clean,oily,grass"
Adolfo-Fragrances,Adolfo Black For Men Adolfo Fragrances for men,"aromatic,fresh spicy,green,woody,warm spicy,",male,older_twenty_five,"grapefruit,musty,clean,oily,grass"
Hugo-Boss,Boss Spirit Hugo Boss for men,"aromatic,fresh spicy,herbal,green,bitter",male,older_twenty_five,"apple,animalic,grapefruit,musty,clean"
Philosophy,Pure Grace Philosophy for women,"aromatic,fresh spicy,musky,floral,white floral",female,older_twenty_five,"lemon,pungent,violetflower"
Guerlain,Vetiver Sport Guerlain for men,"aromatic,fresh spicy,woody,citrus,green,",male,older_twenty_five,"blackcurrant,anisic,dry,grapefruit,musty"
Paco-Rabanne,XS (2018) Paco Rabanne for men,"aromatic,fresh spicy,woody,citrus,green,",male,older_twenty_five,"blackcurrant,anisic,dry,grapefruit,musty"
Bourjois,Flamme Bourjois for women and men,"aromatic,fresh spicy,woody,floral,earthy,",unisex,older_twenty_five,"musk,blackcurrant,anisic,dry,lemon"
Adidas,Adventure Adidas for men,"aromatic,fresh spicy,woody,herbal,green,floral",male,older_twenty_five,"apple,blackcurrant,anisic,dry,animalic"
Amordad,Beaumont White Gold Amordad for men,"aromatic,green,citrus,woody,powdery,",male,older_twenty_five,"vanilla,dry,musk,almond,berry"
La-Rive,Bueno La Rive for women,"aromatic,green,floral,fresh spicy,woody",female,older_twenty_five,"grapefruit,musty,clean,oily,grass"
Burberry,Mr. Burberry Indigo Burberry for men,"aromatic,green,fresh spicy,woody,citrus,,",male,older_twenty_five,"grapefruit,musty,clean,oily,grass"
Calvin-Klein,CK IN2U Him Collectables Calvin Klein for men,"aromatic,green,woody,cacao,citrus",male,older_twenty_five,"nut,coffee,musty,caramellic,honey"
John-Mac-Steed,Blue John Mac Steed for men,"aromatic,herbal,fresh spicy,woody,green,citrus",male,older_twenty_five,"apple,animalic,blackcurrant,anisic,dry"
Faberlic,Cruiser Safari Faberlic for men,"aromatic,leather,woody,balsamic,fresh spicy",male,older_twenty_five,"animalic,phenolic,medicinal,tobacco,smoky"
Santa-Eulalia,Marinis Santa Eulalia for women and men,"aromatic,marine,green,citrus,salty",unisex,older_twenty_five,"grapefruit,musty,clean,oily,grass"
Byredo,Oliver Peoples Green Byredo for women and men,"aromatic,patchouli,woody,sand,warm spicy,fresh spicy",unisex,older_twenty_five,"blackcurrant,anisic,dry"
Neotantric,Manic Love for Him Neotantric for men,"aromatic,powdery,floral,woody,fresh spicy,warm spicy",male,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
Thera-Cosm-ticos,Khabul Thera Cosméticos for men,"aromatic,warm spicy,fresh spicy,woody,floral,citrus",male,older_twenty_five,"blackcurrant,anisic,dry,lemon,pungent"
Walter-Wolf,Grand Prix Walter Wolf for men,"aromatic,warm spicy,woody,floral,fresh spicy",male,older_twenty_five,"blackcurrant,anisic,dry,lemon,pungent"
Art-Deco-Perfumes,La Rose Fetes Galantes Art Deco Perfumes for women and men,"aromatic,woody,balsamic,vanilla,fresh spicy,warm spicy",unisex,older_twenty_five,"dairy,powdery,coconut,grass,nut"
Lomani,Ignition Lomani for men,"aromatic,woody,citrus,fresh spicy,sweet,",male,older_twenty_five,"blackcurrant,anisic,dry,pungent"
Carolina-Herrera,212 Men White Carolina Herrera for men,"aromatic,woody,citrus,fresh spicy,warm spicy",male,older_twenty_five,"blackcurrant,anisic,dry"
Mine-Perfume-Lab,Chileme Mine Perfume Lab for men,"aromatic,woody,citrus,green,white floral,fresh spicy",male,older_twenty_five,"blackcurrant,anisic,dry,grapefruit,musty"
Giorgio-Armani,Armani Code Special Blend Giorgio Armani for men,"aromatic,woody,citrus,soft spicy,floral,sweet,",male,older_twenty_five,"pungent,blackcurrant,anisic,dry,lemon"
Hollister,Coastline Hollister for men,"aromatic,woody,citrus,soft spicy,herbal",male,older_twenty_five,"apple,blackcurrant,anisic,dry,animalic"
Parfums-J-ai-Os-,J'ai Osé Aqua Parfums J'ai Osé for women,"aromatic,woody,floral,fresh spicy,powdery",female,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
Ella-Mikao,Yujin Cross Ella Mikao for men,"aromatic,woody,fresh spicy,balsamic,yellow floral,amber",male,older_twenty_five,"cacao,blackcurrant,anisic,dry,berry"
Nimere-Parfums,Dragon Blood (Cuir Vermillion) Nimere Parfums for women and men,"aromatic,woody,fresh spicy,cherry,warm spicy,rose,",unisex,older_twenty_five,"almond,vanilla,powdery,berry,cinnamon"
Van-Cleef-Arpels,Tsar Van Cleef & Arpels for men,"aromatic,woody,fresh spicy,green,floral,earthy,",male,older_twenty_five,"musk,blackcurrant,anisic,dry,grapefruit"
Apothia,Velvet Rope Apothia for women,"aromatic,woody,fresh spicy,vanilla,rose,",female,older_twenty_five,"dairy,powdery,coconut,grass,nut"
Nez-a-Nez,Vanithe Nez a Nez for women and men,"aromatic,woody,green,fresh spicy,sweet,citrus,",unisex,older_twenty_five,"blackcurrant,anisic,dry,grapefruit,musty"
Alkemia-Perfumes,Deadwood Alkemia Perfumes for women and men,"aromatic,woody,leather,animalic,sweet,herbal",unisex,older_twenty_five,"musk,tobacco,phenolic,medicinal,dry"
By-Kilian,Vodka on the Rocks By Kilian for women and men,"aromatic,woody,warm spicy,amber,floral,",unisex,older_twenty_five,"blackcurrant,anisic,dry,lemon,pungent"
Rochas,Monsieur Rochas Eau de Toilette Concentree Rochas for men,"aromatic,woody,warm spicy,floral,fresh spicy,earthy,",male,older_twenty_five,"musk,blackcurrant,anisic,dry,lemon"
Pierre-Guillaume-Paris,Tonkamande Pierre Guillaume Paris for women,"balsamic,almond,sweet,nutty,vanilla",female,older_twenty_five,"powdery,dairy,cherry,grass,nut"
Santa-Fe-Botanical-Natural-Fragrance-Collection,Kokopeli Botanical Cologne Santa Fe Botanical Natural Fragrance Collection for women,"balsamic,amber,musky,woody,white floral,",female,under_twenty_five,"cacao,berry,whiteflower,blackcurrant,anisic"
Tonatto-Profumi,Amir Tonatto Profumi for women and men,"balsamic,amber,smoky,citrus,woody,",unisex,older_twenty_five,"phenolic,chemical,leather,vanilla,medicinal"
Acqua-Delle-Langhe,Cerequio Acqua Delle Langhe for women and men,"balsamic,amber,smoky,warm spicy,almond,woody,",unisex,older_twenty_five,"phenolic,powdery,vanilla,cherry,chemical"
Voluspa,Ambre Lumiere Voluspa for women and men,"balsamic,amber,warm spicy,patchouli,vanilla,",unisex,older_twenty_five,"dairy,powdery,coconut,grass,nut"
Angela-Ciampagna,Ignes Angela Ciampagna for women and men,"balsamic,amber,woody,tobacco,sweet,",unisex,older_twenty_five,"animalic,leather,dry,blackcurrant,leaf"
Tru-Fragrances,S.E.X. II Tru Fragrances for men,"balsamic,aromatic,vanilla,citrus,musky",male,older_twenty_five,"dairy,powdery,coconut,grass,nut"
Haute-Fragrance-Company-HFC,Or Noir Haute Fragrance Company HFC for men,"balsamic,citrus,warm spicy,aromatic,woody",male,older_twenty_five,"cacao,berry,whiteflower,blackcurrant,anisic"
Etienne-Aigner,Icon Etienne Aigner for women,"balsamic,citrus,white floral,sweet,aromatic,",female,older_twenty_five,"cacao,berry,whiteflower,pungent"
The-Fragrance-Kitchen,Bindi Ballet The Fragrance Kitchen for women and men,"balsamic,citrus,woody,amber,musky",unisex,older_twenty_five,"cacao,berry,whiteflower,blackcurrant,anisic"
Chris-Rusak,Io Chris Rusak for women and men,"balsamic,earthy,woody,smoky,fresh spicy,",unisex,older_twenty_five,"phenolic,musk,leather,chemical,dry"
